Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18,59800.000000,59900.000000,59100.000000,59300.000000,56459.386719,18884571
2020-09-21,59100.000000,60000.000000,59000.000000,59200.000000,56364.175781,15140387
2020-09-22,59100.000000,59700.000000,57800.000000,58200.000000,55412.078125,20830381
2020-09-23,58400.000000,58800.000000,57400.000000,58600.000000,55792.917969,20111398
2020-09-24,57700.000000,58600.000000,57600.000000,57800.000000,55031.238281,17564020
2020-09-25,57700.000000,58200.000000,57700.000000,57900.000000,55126.441406,11444683
2020-09-28,58300.000000,58800.000000,57900.000000,58200.000000,55752.953125,12614080
2020-09-29,58300.000000,59000.000000,58200.000000,58200.000000,55752.953125,15503563
2020-10-05,57500.000000,59200.000000,57500.000000,58700.000000,56231.929688,20228289
2020-10-06,59400.000000,59900.000000,58700.000000,59000.000000,56519.316406,14463826
2020-10-07,58700.000000,59900.000000,58500.000000,59900.000000,57381.476563,14861838
2020-10-08,60500.000000,60700.000000,59500.000000,59700.000000,57189.882813,24589924
2020-10-12,60000.000000,60400.000000,59900.000000,60400.000000,57860.445313,16145837
2020-10-13,61000.000000,61400.000000,60400.000000,60900.000000,58339.429688,19247631
2020-10-14,61000.000000,61100.000000,60500.000000,60900.000000,58339.429688,16086716
2020-10-15,60700.000000,60800.000000,59700.000000,60000.000000,57477.273438,17756232
2020-10-16,60000.000000,60400.000000,59000.000000,59500.000000,56998.292969,16554190
2020-10-19,59600.000000,60200.000000,59500.000000,60000.000000,57477.273438,14474985
2020-10-20,60300.000000,60900.000000,60100.000000,60900.000000,58339.429688,19326115
2020-10-21,61200.000000,61500.000000,60600.000000,60900.000000,58339.429688,15703443
2020-10-22,60300.000000,60500.000000,59800.000000,60100.000000,57573.066406,14294095
2020-10-23,60400.000000,60400.000000,59800.000000,60200.000000,57668.859375,9322232
2020-10-26,60400.000000,61100.000000,60100.000000,60400.000000,57860.445313,13268226
2020-10-27,60300.000000,60300.000000,59500.000000,59800.000000,57285.683594,17260416
2020-10-28,59400.000000,59400.000000,58800.000000,59000.000000,56519.316406,14428882
2020-10-29,58200.000000,58500.000000,57500.000000,58100.000000,55657.156250,22636966
2020-10-30,58000.000000,58000.000000,56600.000000,56600.000000,54220.222656,26907844
2020-11-02,56400.000000,57500.000000,56000.000000,57400.000000,54986.589844,20489076
2020-11-03,57900.000000,58900.000000,57600.000000,58800.000000,56327.726563,14950919
2020-11-04,58900.000000,59000.000000,57800.000000,58500.000000,56040.335938,21718561
2020-11-05,59000.000000,60300.000000,58800.000000,60300.000000,57764.656250,20639475
